Code,Year,Electoral democracy index
,1853,0.055166665
,1854,0.054833334
,1855,0.055166665
,1856,0.0555
,1857,0.0555
,1858,0.05533333
,1859,0.055166665
,1860,0.054999996
,1861,0.059166666
,1862,0.059499998
,1863,0.06016667
,1864,0.057666663
,1865,0.05783333
,1866,0.058
,1867,0.055833336
,1868,0.054833334
,1869,0.054333333
,1870,0.055333335
,1871,0.055166665
,1872,0.055166665
,1873,0.054500002
,1874,0.054166663
,1875,0.054333333
,1876,0.054500002
,1877,0.055166673
,1878,0.056333333
,1879,0.059666663
,1880,0.059
,1881,0.06266667
,1882,0.064
,1883,0.07783333
,1884,0.07766667
,1885,0.0775
,1886,0.0775
,1887,0.075500004
,1888,0.0775
,1889,0.077
,1890,0.07683333
,1891,0.0785
,1892,0.079333335
,1893,0.07833333
,1894,0.07783333
,1895,0.077
,1896,0.076
,1897,0.075333335
,1898,0.07616667
,1899,0.07616667
,1900,0.047270272
,1901,0.048
,1902,0.04876316
,1903,0.049075
,1904,0.048666663
,1905,0.04897619
,1906,0.049190477
,1907,0.049404763
,1908,0.04961905
,1909,0.04947619
,1910,0.049581394
,1911,0.049644444
,1912,0.04977778
,1913,0.04937778
,1914,0.050622225
,1915,0.050499998
,1916,0.04904167
,1917,0.048916668
,1918,0.0489375
,1919,0.050061226
,1920,0.049901962
,1921,0.050196078
,1922,0.04935849
,1923,0.049924526
,1924,0.051547166
,1925,0.051754717
,1926,0.052358493
,1927,0.05233962
,1928,0.05226415
,1929,0.05211321
,1930,0.052415095
,1931,0.052301887
,1932,0.051692307
,1933,0.05171154
,1934,0.0515
,1935,0.05157692
,1936,0.05225
,1937,0.05246154
,1938,0.05325
,1939,0.05319231
,1940,0.053115387
,1941,0.053730767
,1942,0.05637255
,1943,0.056607846
,1944,0.05666667
,1945,0.06005882
,1946,0.06996154
,1947,0.07839623
,1948,0.08213208
,1949,0.08650944
,1950,0.08835849
,1951,0.09203703
,1952,0.09466667
,1953,0.09340741
,1954,0.094388895
,1955,0.09651852
,1956,0.10762963
,1957,0.12951852
,1958,0.13590741
,1959,0.13651852
,1960,0.15620755
,1961,0.17162962
,1962,0.18385184
,1963,0.19281481
,1964,0.1907037
,1965,0.1917037
,1966,0.17948149
,1967,0.17864816
,1968,0.18374074
,1969,0.17516667
,1970,0.17446297
,1971,0.17520371
,1972,0.16737038
,1973,0.16405556
,1974,0.15974075
,1975,0.1640926
,1976,0.16538888
,1977,0.16537037
