Code,Year,GDP Per Capita,,
RWA,1951,1058,,
LCA,1951,1254,,
STP,1951,1274,,
SAU,1951,3784,,
SEN,1951,2042,,
SYC,1951,2778,,
SLE,1951,942,,
SGP,1951,3368,,
ZAF,1951,4130,,
KOR,1951,990.77,,
ESP,1951,3785.9592,,
LKA,1951,2061,,
SWE,1951,11077,,
CHE,1951,11877.894,,
SYR,1951,3609,,
TWN,1951,1513,,
TZA,1951,743,,
THA,1951,1353,,
TGO,1951,885,,
TTO,1951,6207,,
TUN,1951,1763,,
TUR,1951,2299,,
OWID_USS,1951,4473,,
UGA,1951,1023,,
ARE,1951,26634,,
GBR,1951,11354,,
USA,1951,16125,,
URY,1951,7548,,
VEN,1951,9039,,
VNM,1951,1078,,
YEM,1951,1463,,
OWID_YGS,1951,2335,,
ZMB,1951,1097,,
ZWE,1951,1151,,
AFG,1952,1189,,
ALB,1952,1667,,
DZA,1952,2193,,
AGO,1952,1755,,
ARG,1952,7519,,
AUS,1952,11824,,
AUT,1952,6323,,
BHR,1952,3614,,
BGD,1952,874,,
BRB,1952,3655,,
BEL,1952,9035,,
BEN,1952,1565,,
BOL,1952,3237,,
BIH,1952,1894,,
BWA,1952,504,,
BRA,1952,2377,,
BGR,1952,3017,,
BFA,1952,797,,
BDI,1952,626,,
KHM,1952,803,,
CMR,1952,1122,,
CAN,1952,12486,,
CPV,1952,1031,,
CAF,1952,1369,,
TCD,1952,851,,
CHL,1952,6252,,
CHN,1952,1047,,
COL,1952,3529,,
COM,1952,559,,
COG,1952,1758,,
CRI,1952,3370,,
CIV,1952,1714,,
HRV,1952,2738,,
CUB,1952,2844,,
CYP,1952,3017,,
OWID_CZS,1952,5735,,
COD,1952,1065,,
DNK,1952,11086,,
DJI,1952,3585,,
DMA,1952,1121,,
DOM,1952,1868,,
ECU,1952,3202,,
EGY,1952,1435,,
SLV,1952,2472,,
GNQ,1952,845,,
SWZ,1952,628,,
ETH,1952,636,,
FIN,1952,7450,,
,1952,1363,,
FRA,1952,8869,,
GAB,1952,3143,,
GMB,1952,1022,,
DEU,1952,7257,,
GHA,1952,1728,,
GRC,1952,3272,,
GTM,1952,3226,,
GIN,1952,550,,
GNB,1952,516,,
HTI,1952,1860,,
HND,1952,2083,,
HKG,1952,3846,,
HUN,1952,4403,,
ISL,1952,8823,,
IND,1952,1003,,
IDN,1952,1401,,
IRN,1952,2597,,
IRQ,1952,2482,,
IRL,1952,5805,,
ISR,1952,4828,,
ITA,1952,6371,,
JAM,1952,2397,,
JPN,1952,3724,,
JOR,1952,2751,,
KEN,1952,1063,,
KWT,1952,47856,,
LAO,1952,714,,
LBN,1952,5327,,
LSO,1952,666,,
LBR,1952,3277,,
LBY,1952,697,,
LUX,1952,13162,,
MDG,1952,1581,,
MWI,1952,540,,
MYS,1952,2345,,
MLI,1952,752,,
MLT,1952,1701,,
MRT,1952,717,,
MUS,1952,4002,,
MEX,1952,3706,,
MNG,1952,719,,
MNE,1952,1784,,
MAR,1952,2327,,
MOZ,1952,1878,,
MMR,1952,716,,
NAM,1952,4066,,
NPL,1952,835,,
NLD,1952,9698,,
NZL,1952,12427,,
NIC,1952,3016,,
NER,1952,1023,,
NGA,1952,1323,,
MKD,1952,2150,,
NOR,1952,9267,,
OMN,1952,1079,,
PAK,1952,950,,
PSE,1952,1669,,
PAN,1952,2557,,
PRY,1952,2273,,
PER,1952,3964,,
PHL,1952,1890,,
POL,1952,4018,,
PRT,1952,3445,,
PRI,1952,3730,,
QAT,1952,47990,,
ROU,1952,2124.8564,,
RUS,1952,3686.9172,,
RWA,1952,1071,,
LCA,1952,1288,,
STP,1952,1272,,
SAU,1952,3937,,
SEN,1952,2077,,
SRB,1952,2032,,
SYC,1952,2821,,
SLE,1952,958,,
SGP,1952,2342,,
SVN,1952,3934,,
ZAF,1952,4175,,
KOR,1952,1038.041,,
ESP,1952,4099.3994,,
LKA,1952,2093,,
SWE,1952,11152,,
CHE,1952,12016.309,,
SYR,1952,4441,,
TWN,1952,1639,,
TZA,1952,740,,
THA,1952,1385,,
TGO,1952,899,,
TTO,1952,6282,,
TUN,1952,1945,,
TUR,1952,2522,,
OWID_USS,1952,4682,,
UGA,1952,1058,,
ARE,1952,27490,,
GBR,1952,11303,,
USA,1952,16444,,
URY,1952,7353,,
VEN,1952,9309,,
VNM,1952,1106,,
YEM,1952,1473,,
OWID_YGS,1952,2125,,
ZMB,1952,1140,,
ZWE,1952,1154,,
AFG,1953,1240,,
ALB,1953,1736,,
DZA,1953,2182,,
AGO,1953,1795,,
ARG,1953,7769,,
AUS,1953,11963,,
AUT,1953,6594,,
BHR,1953,3747,,
BGD,1953,872,,
BRB,1953,3803,,
BEL,1953,9274,,
BEN,1953,1492,,
BOL,1953,2869,,
BIH,1953,1878,,
BWA,1953,513,,
BRA,1953,2418,,
BGR,1953,3323,,
BFA,1953,816,,
BDI,1953,641,,
KHM,1953,792,,
CMR,1953,1148,,
CAN,1953,12726,,
CPV,1953,1044,,
CAF,1953,1400,,
TCD,1953,870,,
CHL,1953,6582,,
CHN,1953,1157,,
COL,1953,3629,,
COM,1953,571,,
COG,1953,1790,,
CRI,1953,3751,,
CIV,1953,1741,,
HRV,1953,2952,,
CUB,1953,2611,,
CYP,1953,3274,,
OWID_CZS,1953,5649,,
COD,1953,1105,,
DNK,1953,11623,,
DJI,1953,3633,,
DMA,1953,1073,,
DOM,1953,1790,,
ECU,1953,3185,,
EGY,1953,1425,,
SLV,1953,2577,,
GNQ,1953,867,,
SWZ,1953,638,,
ETH,1953,662,,
FIN,1953,7415,,
,1953,1388,,
FRA,1953,9060,,
GAB,1953,3237,,
GMB,1953,1036,,
DEU,1953,7818,,
GHA,1953,1916,,
GRC,1953,3681,,
GTM,1953,3239,,
GIN,1953,563,,
GNB,1953,547,,
HTI,1953,1771,,
HND,1953,2184,,
HKG,1953,3982,,
HUN,1953,4441,,
ISL,1953,8886,,
IND,1953,1047,,
IDN,1953,1451,,
IRN,1953,2531,,
IRQ,1953,3394,,
IRL,1953,5973,,
ISR,1953,4638,,
ITA,1953,6790,,
JAM,1953,2695,,
JPN,1953,3944,,
JOR,1953,2801,,
KEN,1953,1009,,
KWT,1953,49989,,
LAO,1953,722,,
LBN,1953,5968,,
LSO,1953,682,,
LBR,1953,3325,,
LBY,1953,685,,
LUX,1953,13256,,
MDG,1953,1613,,
MWI,1953,553,,
MYS,1953,2295,,
MLI,1953,765,,
MLT,1953,1779,,
MRT,1953,736,,
MUS,1953,4006,,
MEX,1953,3602,,
MNG,1953,741,,
MNE,1953,1570,,
MAR,1953,2340,,
MOZ,1953,1911,,
MMR,1953,724,,
NAM,1953,4125,,
NPL,1953,877,,
NLD,1953,10429,,
NZL,1953,12522,,
NIC,1953,2997,,
NER,1953,1042,,
NGA,1953,1325,,
MKD,1953,2240,,
NOR,1953,9540,,
OMN,1953,1127,,
PAK,1953,1015,,
PSE,1953,1733,,
PAN,1953,2649,,
PRY,1953,2276,,
PER,1953,4111,,
PHL,1953,1999,,
POL,1953,4173,,
PRT,1953,3663,,
PRI,1953,3937,,
QAT,1953,49284,,
ROU,1953,2249.247,,
RUS,1953,3849.795,,
RWA,1953,1090,,
LCA,1953,1326,,
STP,1953,1272,,
SAU,1953,4246,,
SEN,1953,2110,,
SRB,1953,2348,,
SYC,1953,2868,,
SLE,1953,982,,
SGP,1953,2794,,
SVN,1953,4106,,
ZAF,1953,4264,,
KOR,1953,1316.691,,
ESP,1953,4061.8174,,
LKA,1953,2071,,
SWE,1953,11389,,
CHE,1953,12470.985,,
SYR,1953,4916,,
TWN,1953,1728,,
TZA,1953,697,,
THA,1953,1490,,
TGO,1953,913,,
TTO,1953,6303,,
TUN,1953,1983,,
TUR,1953,2745,,
OWID_USS,1953,4803,,
UGA,1953,1076,,
ARE,1953,29358,,
GBR,1953,11709,,
USA,1953,16917,,
URY,1953,8030,,
VEN,1953,9500,,
VNM,1953,1135,,
YEM,1953,1482,,
OWID_YGS,1953,2289,,
ZMB,1953,1184,,
ZWE,1953,1211,,
AFG,1954,1245,,
ALB,1954,1785,,
DZA,1954,2291,,
AGO,1954,1720,,
ARG,1954,7938,,
AUS,1954,12419,,
AUT,1954,7261,,
BHR,1954,3883,,
BGD,1954,872,,
BRB,1954,3947,,
BEL,1954,9610,,
BEN,1954,1505,,
BOL,1954,2868,,
BIH,1954,1847,,
BWA,1954,521,,
BRA,1954,2531,,
BGR,1954,3228,,
BFA,1954,838,,
BDI,1954,665,,
KHM,1954,864,,
CMR,1954,1175,,
CAN,1954,12272,,
CPV,1954,1030,,
CAF,1954,1431,,
TCD,1954,888,,
CHL,1954,6237,,
CHN,1954,1049,,
COL,1954,3759,,
COM,1954,590,,
COG,1954,1822,,
CRI,1954,3649,,
CIV,1954,1769,,
HRV,1954,3193,,
CUB,1954,2611,,
CYP,1954,3287,,
OWID_CZS,1954,5821,,
COD,1954,1148,,
DNK,1954,11749,,
DJI,1954,3743,,
DMA,1954,1098,,
DOM,1954,1833,,
ECU,1954,3352,,
EGY,1954,1417,,
SLV,1954,2536,,
GNQ,1954,901,,
SWZ,1954,658,,
ETH,1954,650,,
